Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Фоменко,Аніта,Ярославівна,Жінка,22.11.2008,Шериф,місто Новгород-Сіверський,"проспект Краснослобідський, буд. 766, Великі Мости, 80664",+380 10 751-25-05,nkhmara@example.com
Артюшенко,Алла,Ігорівна,Жінка,19.11.2021,Паблік рилейшнз,хутір Білозерське,"сквер Садова 2-га, буд. 4, Дубно, 14428",476-08-13,deinekabohodar@example.org
Карпенко,Марина,Ярославівна,Жінка,23.11.2006,Маркетолог,село Шпола,"парк Надіїі, буд. 838 кв. 98, Білогірськ, 39481",+380 (46) 036-89-92,tkashchenko@example.org
Шведченко,Зиновій,Зеновійович,Чоловік,22.11.2009,Гірник,село Бережани,"площа Четверта, буд. 461 кв. 09, Городня, 84445",+380 50 656-80-28,iukhym45@example.com
Оніщук,Миколай,Васильович,Чоловік,22.11.2008,Клавішник,місто Гайворон,"узвіз Авангардна, буд. 26, Оріхів, 72829",044 136-34-66,hennadiifomenko@example.org
Гресь,Орест,Зеновійович,Чоловік,23.11.2007,Швачка,місто Гадяч,"проспект Молодіжна, буд. 7, Подільськ, 59874",+380 34 172-92-30,iarema46@example.org
Баранник,Борис,Артемович,Чоловік,19.11.2021,Інженер,село Монастириська,"площа Яблочкіної, буд. 31, Чугуїв, 32918",+380 20 247 06 55,hanna23@example.org
Атаманюк,Антон,Артемович,Чоловік,20.11.2018,Композитор,хутір Ічня,"узвіз Педагогічний, буд. 320 кв. 5, Залізне, 43400",134 98 11,jisaievych@example.com
Оберемко,Хома,Віталійович,Чоловік,20.11.2017,Гірник,село Золоте,"провулок Круговий, буд. 10 кв. 777, Добромиль, 76680",910-65-95,danna46@example.net
Корбут,Віктор,Святославович,Чоловік,21.11.2015,Бухгалтер,село Герца,"вулиця Соляний 1-й, буд. 50 кв. 621, Борислав, 74273",+380 58 993 75 36,btverdokhlib@example.com
Юрченко,Артем,Тарасович,Чоловік,21.11.2013,Астронавт,селище Новоград-Волинський,"проспект Некрасова, буд. 89, Надвірна, 01031",+380 73 887-33-91,iderevianko@example.org
Нестеренко,Семен,Максимович,Чоловік,19.11.2023,Громадський діяч,місто Волноваха,"проспект Привокзальна, буд. 2, Ланівці, 47088",003 626-59-67,orlyksnizhana@example.net
Туркало,Михайло,Артемович,Чоловік,21.11.2013,Астрофізик,селище Радехів,"вулиця Першотравневий 1-й, буд. 4, Гірське, 18756",067 465 00 90,iakymenkoolha@example.com
Супруненко,Стефан,Ярославович,Чоловік,19.11.2020,Хімік,селище Батурин,"набережна Брестська, буд. 5 кв. 49, Глобине, 41003",093 053 67 59,shapovalirena@example.com
Захаренко,Августин,Тарасович,Чоловік,22.11.2011,Електрослюсар,хутір Рогатин,"вулиця Безіменний, буд. 6, Зоринськ, 09710",+380 (88) 504-43-62,yhavryshkevych@example.net
Чміль,Роман,Віталійович,Чоловік,20.11.2017,Кушнір,хутір Корець,"площа Місячна, буд. 8, Коломия, 14910",+380 90 059 90 69,szhuk@example.net
Іщенко,Аврелій,Анатолійович,Чоловік,23.11.2007,Конструктор,селище Косів,"площа Асташкіна, буд. 64, Нове Давидково, 52073",038 919-54-56,viktoriia49@example.com
Гуцуляк,Ірена,Зеновіївна,Жінка,22.11.2010,Льотчик,селище Узин,"шосе Ванцетті, буд. 3, Косів, 19241",033 225 49 91,khrystynavalenko@example.com
Девдюк,Феофан,Ярославович,Чоловік,22.11.2010,Патологоанатом,селище Хирів,"проспект Клинова, буд. 35 кв. 6, Люботин, 07067",+380 95 073-87-03,gtsisyk@example.org
Артимович,Борислав,Віталійович,Чоловік,19.11.2020,Історик,місто Пологи ,"сквер Скляний 3-й, буд. 587 кв. 27, Іршава, 90932",+380 14 918-79-13,gkolesnychenko@example.com
Міщенко,Теодор,Степанович,Чоловік,19.11.2021,Фотограф,село Ічня,"шосе Юхима Геллера, буд. 4 кв. 5, Алчевськ, 16360",913 65 79,kalenychenkoiaroslav@example.org
Франчук,Галина,Ярославівна,Жінка,21.11.2013,Кіноактор,місто Красноперекопськ,"вулиця Полтавська, буд. 1, Ясинувата, 74199",365-85-18,dartiushenko@example.org
Кащенко,Адам,Ярославович,Чоловік,21.11.2014,Науковець,селище Добропілля,"вулиця Проектований 4-й, буд. 3, Овруч, 31308",975 98 23,iudovychenko@example.org
Усик,Охрім,Ярославович,Чоловік,23.11.2007,Агроном,хутір Ічня,"сквер Луценка Івана, буд. 27, Жидачів, 31436",074 322 29 20,omelianstets@example.net
Бгиденко,Оксана,Артемівна,Жінка,22.11.2008,Секретар,селище Курахове,"проспект Український 3-й, буд. 86 кв. 5, Богодухів, 87618",+380 62 457 31 93,otsarenko@example.net
Бабій,Варвара,Анатоліївна,Жінка,19.11.2023,Намотувальник,селище Кам'янське,"шосе Соляний 1-й, буд. 76 кв. 37, Одеса, 30712",+380 (00) 003-54-62,danylenkoiryna@example.org
Петренко,Орися,Ігорівна,Жінка,21.11.2014,Філолог,селище Сорокине,"парк Хаджибейська дорога, буд. 1, Волноваха, 89405",089 494-73-69,mykhailoshchyrytsia@example.net
Носенко,Віолетта,Максимівна,Жінка,21.11.2013,Будник,хутір Південне ,"парк Степна, буд. 91, Ізюм, 80939",+380 (31) 337-55-22,khrystychsofiia@example.org
Баштан,Аніта,Ігорівна,Жінка,20.11.2016,Реставратор,село Ківерці,"шосе Шевченка парк, буд. 2, Тернівка , 51238",+380 45 013-54-47,mishchenkopanas@example.com
Лесик,Юстина,Віталіївна,Жінка,21.11.2012,Модель,село Липовець,"набережна 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 2 кв. 5, Євпаторія, 54484",631-68-91,dzhundavyd@example.net
Філіпенко,Алевтин,Артемович,Чоловік,22.11.2009,Мікробіолог,місто Донецьк,"шосе Базарна, буд. 06, Заставна, 11105",+380 01 012-37-06,cmakohon@example.org
Дубенко,Світлана,Степанівна,Жінка,22.11.2010,Електротехнік,хутір Гірське,"проспект Архітектурна, буд. 6, Заліщики, 62225",018 276 99 65,svitlana48@example.com
Батіг,Соломія,Олегівна,Жінка,21.11.2013,Електротехнік,селище Новомосковськ,"узвіз Слобідська, буд. 435, Ковель, 25464",062 618 25 14,hlahoda@example.net
Чміль,Ярослав,Ярославович,Чоловік,20.11.2018,Бібліограф,селище Тернопіль,"набережна Першотравневий 3-й, буд. 0 кв. 20, Іллінці, 68974",016 416 96 64,darahanihor@example.net
Гаврилюк,Єва,Степанівна,Жінка,21.11.2015,Музикант,місто Бережани,"площа Польський узвіз, буд. 6 кв. 78, Вашківці, 02703",+380 29 830 28 41,tmazur@example.org
Гайворонський,Охрім,Ярославович,Чоловік,20.11.2017,Ювелір,місто Роздільна,"площа Героїв прикордонників, буд. 26, Христинівка, 34244",+380 10 329-85-30,taranonysym@example.com
Масляк,Августин,Святославович,Чоловік,22.11.2009,Фармацевт,хутір Ходорів,"вулиця Романтиків, буд. 1 кв. 87, Сорокине, 33031",094 598 98 59,franchuknadiia@example.net
Величко,Ірена,Анатоліївна,Жінка,22.11.2010,Дипломат,місто Мирноград,"провулок 14-та ст. Великого Фонтану пляж, буд. 801, Лозова , 35801",+380 12 269 28 19,nestor16@example.net
Петрик,Миколай,Богданович,Чоловік,22.11.2008,Кінорежисер,хутір Очаків,"шосе Москвіна, буд. 438, Южне, 90352",044 808-12-32,kostiantynbazylevych@example.com
Карпенко,Єфрем,Максимович,Чоловік,22.11.2011,Композитор,хутір Перемишляни,"вулиця Чумацька, буд. 761, Коростишів, 35127",+380 (51) 200-03-84,arsenychiarema@example.com
Усик,Марко,Анатолійович,Чоловік,21.11.2013,Фермер,село Шумськ,"проспект Восьмого березня 7-й, буд. 367 кв. 972, Балаклія, 52721",018 390 50 82,zderkach@example.org
